Time(s),Theta_MATLAB,Omega_MATLAB,Theta_CPP,Omega_CPP,Theta_IKF,Omega_IKF,CycleTime_us
0.000000,1.047701,0.505995,0.524106,0.512738,1.047695,0.505992,11165.000000
0.001000,1.048210,0.511985,0.524626,0.525471,1.048209,0.511426,42715.000000
0.002000,1.048725,0.517969,0.525158,0.538201,1.048724,0.517405,27.000000
0.003000,1.049245,0.523948,0.525703,0.550926,1.049245,0.523383,11.000000
0.004000,1.049772,0.529921,0.526261,0.563647,1.049772,0.529357,15.000000
0.005000,1.050305,0.535889,0.526832,0.576364,1.050305,0.535324,15.000000
0.006000,1.050844,0.541851,0.527415,0.589076,1.050844,0.541286,12.000000
0.007000,1.051389,0.547807,0.528011,0.601784,1.051389,0.547242,14.000000
0.008000,1.051940,0.553758,0.528620,0.614487,1.051940,0.553193,19.000000
0.009000,1.052497,0.559703,0.529241,0.627185,1.052496,0.559138,12.000000
0.010000,1.053059,0.565642,0.529876,0.639878,1.053059,0.565077,9.000000
0.011000,1.053628,0.571575,0.530522,0.652566,1.053628,0.571009,10.000000
0.012000,1.054202,0.577502,0.531182,0.665249,1.054202,0.576936,10.000000
0.013000,1.054783,0.583423,0.531854,0.677927,1.054783,0.582857,17.000000
0.014000,1.055369,0.589337,0.532539,0.690599,1.055369,0.588772,12.000000
0.015000,1.055961,0.595246,0.533237,0.703266,1.055961,0.594680,13.000000
0.016000,1.056560,0.601148,0.533947,0.715927,1.056559,0.600582,15.000000
0.017000,1.057164,0.607044,0.534670,0.728583,1.057163,0.606478,10.000000
0.018000,1.057774,0.612933,0.535405,0.741233,1.057773,0.612367,9.000000
0.019000,1.058390,0.618816,0.536154,0.753877,1.058389,0.618250,10.000000
0.020000,1.059011,0.624693,0.536914,0.766515,1.059011,0.624126,9.000000
0.021000,1.059639,0.630563,0.537688,0.779148,1.059639,0.629996,10.000000
0.022000,1.060273,0.636426,0.538474,0.791773,1.060272,0.635859,10.000000
0.023000,1.060912,0.642282,0.539273,0.804393,1.060912,0.641716,10.000000
0.024000,1.061557,0.648132,0.540084,0.817006,1.061557,0.647565,10.000000
0.025000,1.062208,0.653975,0.540908,0.829613,1.062208,0.653408,9.000000
0.026000,1.062865,0.659811,0.541744,0.842213,1.062865,0.659244,9.000000
0.027000,1.063528,0.665639,0.542594,0.854806,1.063527,0.665072,10.000000
0.028000,1.064196,0.671461,0.543455,0.867393,1.064196,0.670894,42.000000
0.029000,1.064871,0.677276,0.544330,0.879972,1.064870,0.676709,28.000000
0.030000,1.065551,0.683084,0.545217,0.892545,1.065551,0.682516,13.000000
0.031000,1.066237,0.688884,0.546116,0.905110,1.066237,0.688316,12.000000
0.032000,1.066929,0.694677,0.547028,0.917668,1.066928,0.694109,29.000000
0.033000,1.067626,0.700463,0.547953,0.930218,1.067626,0.699895,11.000000
0.034000,1.068330,0.706241,0.548890,0.942762,1.068329,0.705673,9.000000
0.035000,1.069039,0.712011,0.549839,0.955297,1.069038,0.711443,10.000000
0.036000,1.069754,0.717775,0.550802,0.967825,1.069753,0.717206,10.000000
0.037000,1.070474,0.723530,0.551776,0.980345,1.070474,0.722962,10.000000
0.038000,1.071201,0.729278,0.552763,0.992857,1.071200,0.728710,10.000000
0.039000,1.071933,0.735018,0.553763,1.005361,1.071932,0.734450,10.000000
0.040000,1.072671,0.740750,0.554775,1.017856,1.072670,0.740182,11.000000
0.041000,1.073414,0.746475,0.555800,1.030344,1.073414,0.745906,10.000000
0.042000,1.074164,0.752191,0.556837,1.042823,1.074163,0.751622,10.000000
0.043000,1.074919,0.757900,0.557887,1.055293,1.074918,0.757331,10.000000
0.044000,1.075679,0.763600,0.558949,1.067755,1.075679,0.763031,10.000000
0.045000,1.076446,0.769292,0.560024,1.080208,1.076446,0.768723,10.000000
0.046000,1.077218,0.774976,0.561111,1.092653,1.077218,0.774407,10.000000
0.047000,1.077996,0.780652,0.562210,1.105088,1.077996,0.780083,10.000000
0.048000,1.078779,0.786320,0.563322,1.117514,1.078779,0.785750,10.000000
0.049000,1.079568,0.791979,0.564447,1.129931,1.079568,0.791409,10.000000
0.050000,1.080363,0.797629,0.565583,1.142339,1.080363,0.797059,10.000000
0.051000,1.081164,0.803271,0.566733,1.154737,1.081163,0.802701,22.000000
0.052000,1.081970,0.808905,0.567894,1.167126,1.081969,0.808335,14.000000
0.053000,1.082781,0.814530,0.569068,1.179505,1.082781,0.813959,49677.000000
0.054000,1.083599,0.820146,0.570254,1.191874,1.083599,0.819575,16.000000
0.055000,1.084422,0.825753,0.571453,1.204233,1.084421,0.825183,17.000000
0.056000,1.085250,0.831352,0.572664,1.216582,1.085250,0.830781,15.000000
0.057000,1.086084,0.836942,0.573887,1.228921,1.086084,0.836371,14.000000
0.058000,1.086924,0.842522,0.575123,1.241250,1.086924,0.841951,12.000000
0.059000,1.087770,0.848094,0.576371,1.253568,1.087769,0.847523,14.000000
0.060000,1.088620,0.853657,0.577631,1.265876,1.088620,0.853085,13.000000
0.061000,1.089477,0.859210,0.578904,1.278173,1.089477,0.858639,15.000000
0.062000,1.090339,0.864754,0.580189,1.290460,1.090339,0.864183,13.000000
0.063000,1.091206,0.870289,0.581486,1.302735,1.091206,0.869718,11.000000
0.064000,1.092079,0.875815,0.582796,1.315000,1.092079,0.875243,68.000000
0.065000,1.092958,0.881331,0.584117,1.327253,1.092958,0.880759,16.000000
0.066000,1.093842,0.886838,0.585451,1.339495,1.093842,0.886266,12.000000
0.067000,1.094732,0.892335,0.586798,1.351726,1.094731,0.891763,13.000000
0.068000,1.095627,0.897823,0.588156,1.363945,1.095626,0.897250,13.000000
0.069000,1.096527,0.903301,0.589527,1.376152,1.096527,0.902728,13.000000
0.070000,1.097433,0.908769,0.590910,1.388348,1.097433,0.908196,14.000000
0.071000,1.098345,0.914228,0.592305,1.400532,1.098345,0.913655,11.000000
0.072000,1.099262,0.919676,0.593712,1.412704,1.099261,0.919103,12.000000
0.073000,1.100184,0.925115,0.595131,1.424864,1.100184,0.924542,11.000000
0.074000,1.101112,0.930544,0.596563,1.437011,1.101112,0.929970,13.000000
0.075000,1.102045,0.935962,0.598007,1.449146,1.102045,0.935389,12.000000
0.076000,1.102984,0.941371,0.599462,1.461269,1.102984,0.940797,14.000000
0.077000,1.103928,0.946770,0.600930,1.473378,1.103928,0.946196,13.000000
0.078000,1.104877,0.952158,0.602410,1.485476,1.104877,0.951584,13.000000
0.079000,1.105832,0.957536,0.603902,1.497560,1.105832,0.956962,13.000000
0.080000,1.106793,0.962903,0.605407,1.509631,1.106792,0.962329,14.000000
0.081000,1.107758,0.968261,0.606923,1.521689,1.107758,0.967686,14.000000
0.082000,1.108729,0.973607,0.608451,1.533734,1.108729,0.973033,14.000000
0.083000,1.109705,0.978944,0.609992,1.545765,1.109705,0.978369,11.000000
0.084000,1.110687,0.984269,0.611544,1.557782,1.110687,0.983695,13.000000
0.085000,1.111674,0.989584,0.613108,1.569786,1.111674,0.989009,12.000000
0.086000,1.112666,0.994889,0.614685,1.581776,1.112666,0.994314,12.000000
0.087000,1.113664,1.000182,0.616273,1.593753,1.113663,0.999607,12.000000
0.088000,1.114666,1.005465,0.617873,1.605715,1.114666,1.004889,14.000000
0.089000,1.115675,1.010737,0.619486,1.617662,1.115674,1.010161,14.000000
0.090000,1.116688,1.015997,0.621110,1.629596,1.116688,1.015422,12.000000
0.091000,1.117707,1.021247,0.622746,1.641515,1.117706,1.020671,14.000000
0.092000,1.118730,1.026486,0.624394,1.653419,1.118730,1.025910,15.000000
0.093000,1.119760,1.031713,0.626054,1.665308,1.119759,1.031137,14.000000
0.094000,1.120794,1.036930,0.627726,1.677183,1.120794,1.036353,13.000000
0.095000,1.121833,1.042135,0.629410,1.689042,1.121833,1.041558,12.000000
0.096000,1.122878,1.047328,0.631105,1.700887,1.122878,1.046752,11.000000
0.097000,1.123928,1.052511,0.632813,1.712716,1.123928,1.051934,13.000000
0.098000,1.124983,1.057681,0.634532,1.724529,1.124983,1.057105,11.000000
0.099000,1.126043,1.062841,0.636263,1.736327,1.126043,1.062264,13.000000
0.100000,1.127109,1.067988,0.638006,1.748109,1.127109,1.067411,19.000000
0.101000,1.128179,1.073125,0.639760,1.759876,1.128179,1.072547,10.000000
0.102000,1.129255,1.078249,0.641527,1.771626,1.129255,1.077671,11.000000
0.103000,1.130336,1.083362,0.643305,1.783360,1.130336,1.082784,237.000000
0.104000,1.131422,1.088462,0.645094,1.795078,1.131421,1.087885,226.000000
0.105000,1.132513,1.093551,0.646896,1.806779,1.132512,1.092973,49748.000000
0.106000,1.133609,1.098628,0.648709,1.818464,1.133609,1.098050,27.000000
0.107000,1.134710,1.103693,0.650534,1.830132,1.134710,1.103115,15.000000
0.108000,1.135816,1.108746,0.652371,1.841783,1.135816,1.108168,16.000000
0.109000,1.136928,1.113787,0.654219,1.853417,1.136927,1.113208,15.000000
0.110000,1.138044,1.118815,0.656079,1.865034,1.138044,1.118237,13.000000
0.111000,1.139165,1.123832,0.657950,1.876633,1.139165,1.123253,32.000000
0.112000,1.140291,1.128836,0.659833,1.888215,1.140291,1.128256,13.000000
0.113000,1.141423,1.133827,0.661728,1.899780,1.141423,1.133248,12.000000
0.114000,1.142559,1.138806,0.663634,1.911326,1.142559,1.138227,12.000000
0.115000,1.143700,1.143773,0.665551,1.922855,1.143700,1.143193,15.000000
0.116000,1.144847,1.148727,0.667481,1.934366,1.144846,1.148147,14.000000
0.117000,1.145998,1.153669,0.669421,1.945858,1.145998,1.153089,13.000000
0.118000,1.147154,1.158597,0.671373,1.957333,1.147154,1.158017,14.000000
0.119000,1.148315,1.163513,0.673337,1.968788,1.148315,1.162933,12.000000
0.120000,1.149481,1.168417,0.675312,1.980225,1.149481,1.167836,15.000000
0.121000,1.150652,1.173307,0.677299,1.991644,1.150652,1.172727,14.000000
0.122000,1.151828,1.178185,0.679297,2.003043,1.151827,1.177604,14.000000
0.123000,1.153008,1.183049,0.681306,2.014423,1.153008,1.182468,15.000000
0.124000,1.154194,1.187901,0.683327,2.025784,1.154193,1.187320,11.000000
0.125000,1.155384,1.192739,0.685359,2.037126,1.155384,1.192158,12.000000
0.126000,1.156579,1.197564,0.687402,2.048448,1.156579,1.196983,12.000000
0.127000,1.157779,1.202376,0.689457,2.059750,1.157779,1.201795,12.000000
0.128000,1.158984,1.207175,0.691523,2.071033,1.158984,1.206594,93.000000
0.129000,1.160194,1.211961,0.693600,2.082295,1.160193,1.211379,16.000000
0.130000,1.161408,1.216733,0.695688,2.093537,1.161408,1.216151,12.000000
0.131000,1.162627,1.221491,0.697788,2.104759,1.162627,1.220909,12.000000
0.132000,1.163851,1.226236,0.699899,2.115961,1.163851,1.225654,11.000000
0.133000,1.165079,1.230968,0.702021,2.127142,1.165079,1.230386,13.000000
0.134000,1.166313,1.235686,0.704154,2.138302,1.166312,1.235103,11.000000
0.135000,1.167551,1.240390,0.706299,2.149441,1.167551,1.239807,13.000000
0.136000,1.168794,1.245080,0.708454,2.160559,1.168793,1.244498,14.000000
0.137000,1.170041,1.249757,0.710621,2.171656,1.170041,1.249174,26.000000
0.138000,1.171293,1.254420,0.712799,2.182731,1.171293,1.253837,15.000000
0.139000,1.172550,1.259069,0.714987,2.193785,1.172550,1.258486,14.000000
0.140000,1.173811,1.263703,0.717187,2.204817,1.173811,1.263120,14.000000
0.141000,1.175077,1.268324,0.719398,2.215827,1.175077,1.267741,12.000000
0.142000,1.176348,1.272931,0.721620,2.226815,1.176348,1.272348,12.000000
