Time(s),Theta_MATLAB,Omega_MATLAB,Theta_CPP,Omega_CPP,Theta_IKF,Omega_IKF,Theta_Hybrid,Omega_Hybrid,CycleTime_us
0.000000,0.523599,0.500000,0.523599,0.500000,0.523599,0.500000,0.523599,0.500000,0.000000
0.001000,1.047701,0.505995,0.524099,0.500084,1.047695,0.505992,0.524099,0.500084,10822.000000
0.002000,1.048210,0.511985,0.681677,0.495471,1.048209,0.511426,0.681677,0.495471,38.000000
0.003000,1.048725,0.517969,0.792134,0.492949,1.048724,0.517405,0.792134,0.492949,20.000000
0.004000,1.049245,0.523948,0.869608,0.492208,1.049245,0.523383,0.869608,0.492208,44589.000000
0.005000,1.049772,0.529921,0.923996,0.492889,1.049772,0.529357,0.923996,0.492889,13.000000
0.006000,1.050305,0.535889,0.962229,0.494716,1.050305,0.535324,0.962229,0.494716,11.000000
0.007000,1.050844,0.541851,0.989154,0.497461,1.050844,0.541286,0.989154,0.497461,11.000000
0.008000,1.051389,0.547807,1.008167,0.500937,1.051389,0.547242,1.008167,0.500937,37.000000
0.009000,1.051940,0.553758,1.021644,0.504988,1.051940,0.553193,1.021644,0.504988,12.000000
0.010000,1.052497,0.559703,1.031247,0.509486,1.052496,0.559138,1.031247,0.509486,13.000000
0.011000,1.053059,0.565642,1.038142,0.514328,1.053059,0.565077,1.038142,0.514328,10.000000
0.012000,1.053628,0.571575,1.043142,0.519434,1.053628,0.571009,1.043142,0.519434,11.000000
0.013000,1.054202,0.577502,1.046817,0.524738,1.054202,0.576936,1.046817,0.524738,10.000000
0.014000,1.054783,0.583423,1.049568,0.530191,1.054783,0.582857,1.049568,0.530191,9.000000
0.015000,1.055369,0.589337,1.051674,0.535754,1.055369,0.588772,1.051674,0.535754,10.000000
0.016000,1.055961,0.595246,1.053329,0.541399,1.055961,0.594680,1.053329,0.541399,13.000000
0.017000,1.056560,0.601148,1.054671,0.547103,1.056559,0.600582,1.054671,0.547103,10.000000
0.018000,1.057164,0.607044,1.055796,0.552849,1.057163,0.606478,1.055796,0.552849,77.000000
0.019000,1.057774,0.612933,1.056770,0.558625,1.057773,0.612367,1.056770,0.558625,83.000000
0.020000,1.058390,0.618816,1.057641,0.564421,1.058389,0.618250,1.057641,0.564421,14.000000
0.021000,1.059011,0.624693,1.058441,0.570229,1.059011,0.624126,1.058441,0.570229,11.000000
0.022000,1.059639,0.630563,1.059194,0.576045,1.059639,0.629996,1.059194,0.576045,11.000000
0.023000,1.060273,0.636426,1.059914,0.581865,1.060272,0.635859,1.059914,0.581865,11.000000
0.024000,1.060912,0.642282,1.060615,0.587686,1.060912,0.641716,1.060615,0.587686,11.000000
0.025000,1.061557,0.648132,1.061303,0.593506,1.061557,0.647565,1.061303,0.593506,11.000000
0.026000,1.062208,0.653975,1.061984,0.599323,1.062208,0.653408,1.061984,0.599323,31.000000
0.027000,1.062865,0.659811,1.062662,0.605135,1.062865,0.659244,1.062662,0.605135,11.000000
0.028000,1.063528,0.665639,1.063339,0.610943,1.063527,0.665072,1.063339,0.610943,133.000000
0.029000,1.064196,0.671461,1.064018,0.616745,1.064196,0.670894,1.064018,0.616745,19.000000
0.030000,1.064871,0.677276,1.064699,0.622542,1.064870,0.676709,1.064699,0.622542,16.000000
0.031000,1.065551,0.683084,1.065384,0.628331,1.065551,0.682516,1.065384,0.628331,10.000000
0.032000,1.066237,0.688884,1.066074,0.634114,1.066237,0.688316,1.066074,0.634114,38.000000
0.033000,1.066929,0.694677,1.066768,0.639890,1.066928,0.694109,1.066768,0.639890,12.000000
0.034000,1.067626,0.700463,1.067467,0.645659,1.067626,0.699895,1.067467,0.645659,25.000000
0.035000,1.068330,0.706241,1.068172,0.651420,1.068329,0.705673,1.068172,0.651420,60.000000
0.036000,1.069039,0.712011,1.068882,0.657174,1.069038,0.711443,1.068882,0.657174,36.000000
0.037000,1.069754,0.717775,1.069597,0.662921,1.069753,0.717206,1.069597,0.662921,16.000000
0.038000,1.070474,0.723530,1.070318,0.668660,1.070474,0.722962,1.070318,0.668660,90.000000
0.039000,1.071201,0.729278,1.071045,0.674391,1.071200,0.728710,1.071045,0.674391,17.000000
0.040000,1.071933,0.735018,1.071777,0.680114,1.071932,0.734450,1.071777,0.680114,21.000000
0.041000,1.072671,0.740750,1.072515,0.685829,1.072670,0.740182,1.072515,0.685829,49.000000
0.042000,1.073414,0.746475,1.073259,0.691537,1.073414,0.745906,1.073259,0.691537,24.000000
0.043000,1.074164,0.752191,1.074008,0.697236,1.074163,0.751622,1.074008,0.697236,11.000000
0.044000,1.074919,0.757900,1.074763,0.702927,1.074918,0.757331,1.074763,0.702927,10.000000
0.045000,1.075679,0.763600,1.075524,0.708611,1.075679,0.763031,1.075524,0.708611,10.000000
0.046000,1.076446,0.769292,1.076290,0.714285,1.076446,0.768723,1.076290,0.714285,11.000000
0.047000,1.077218,0.774976,1.077062,0.719952,1.077218,0.774407,1.077062,0.719952,11.000000
0.048000,1.077996,0.780652,1.077840,0.725610,1.077996,0.780083,1.077840,0.725610,10.000000
0.049000,1.078779,0.786320,1.078624,0.731260,1.078779,0.785750,1.078624,0.731260,10.000000
0.050000,1.079568,0.791979,1.079413,0.736901,1.079568,0.791409,1.079413,0.736901,10.000000
0.051000,1.080363,0.797629,1.080208,0.742534,1.080363,0.797059,1.080208,0.742534,10.000000
0.052000,1.081164,0.803271,1.081008,0.748158,1.081163,0.802701,1.081008,0.748158,10.000000
0.053000,1.081970,0.808905,1.081814,0.753774,1.081969,0.808335,1.081814,0.753774,10.000000
